id,state,coordinates,fuel type
46711,CA,"[-122.3706759, 37.6023496]",ELEC
46715,CA,"[-121.946908, 37.287593]",ELEC
46721,CA,"[-121.911087, 37.702828]",ELEC
46722,CA,"[-121.911087, 37.702828]",ELEC
46723,CA,"[-117.11955, 33.11587]",ELEC
46724,CA,"[-122.079181, 38.244614]",ELEC
46725,CA,"[-122.079181, 38.244614]",ELEC
46729,CA,"[-116.324409, 33.72323]",ELEC
46731,CA,"[-118.1488717, 33.8234522]",ELEC
46733,CA,"[-118.35808, 34.063383]",ELEC
46743,CA,"[-117.547161, 34.049006]",ELEC
46744,CA,"[-117.547161, 34.049006]",ELEC
46974,CA,"[-117.54918, 34.100456]",ELEC
47303,CA,"[-117.907484, 33.873803]",E85
47457,CA,"[-121.962228, 36.981884]",ELEC
47590,CA,"[-121.832042, 38.007799]",ELEC
47591,CA,"[-119.035324, 35.310723]",ELEC
47592,CA,"[-117.995215, 33.865497]",ELEC
47593,CA,"[-118.245675, 33.824968]",ELEC
47594,CA,"[-116.471, 33.78414]",ELEC
47595,CA,"[-118.100471, 33.861544]",ELEC
47596,CA,"[-121.843715, 39.756332]",ELEC
47597,CA,"[-117.928216, 33.997621]",ELEC
47598,CA,"[-119.717629, 36.836818]",ELEC
47599,CA,"[-122.463541, 37.671267]",ELEC
47600,CA,"[-122.050128, 37.980192]",ELEC
47601,CA,"[-117.615292, 33.88309]",ELEC
47602,CA,"[-117.918684, 33.675397]",ELEC
47603,CA,"[-121.691555, 38.55252]",ELEC
47604,CA,"[-118.151166, 33.9473]",ELEC
47605,CA,"[-117.975944, 34.136553]",ELEC
47607,CA,"[-116.976156, 32.795896]",ELEC
47609,CA,"[-117.106837, 33.116492]",ELEC
47610,CA,"[-124.164405, 40.800562]",ELEC
47646,CA,"[-121.4632051865082, 37.75990555387505]",ELEC
48018,CA,"[-117.00619, 33.747042]",E85
48020,CA,"[-117.61148, 34.063139]",E85
48022,CA,"[-118.28712, 33.842435]",E85
48063,CA,"[-117.799302, 33.72484]",ELEC
48064,CA,"[-121.941218, 38.381441]",ELEC
48066,CA,"[-122.255493, 38.118088]",ELEC
48067,CA,"[-118.449059, 34.168824]",ELEC
48068,CA,"[-117.3219, 34.517883]",ELEC
48069,CA,"[-119.27569, 36.32327]",ELEC
48071,CA,"[-117.890899, 34.074227]",ELEC
48120,CA,"[-118.356601, 34.133446]",ELEC
48122,CA,"[-120.502428, 37.305891]",ELEC
48123,CA,"[-118.466606, 34.269809]",ELEC
48124,CA,"[-120.99471, 37.705119]",ELEC
48125,CA,"[-117.694876, 34.082404]",ELEC
48129,CA,"[-118.273229, 34.035168]",ELEC
48130,CA,"[-122.277767, 38.292706]",ELEC
48131,CA,"[-121.877656, 37.275144]",ELEC
48139,CA,"[-121.988027, 37.323569]",ELEC
48141,CA,"[-120.420639, 34.931796]",ELEC
48150,CA,"[-118.778957, 34.277324]",ELEC
48154,CA,"[-117.100836, 32.659001]",ELEC
48157,CA,"[-119.150217, 34.22771]",ELEC
48158,CA,"[-118.138184, 34.591173]",ELEC
48160,CA,"[-117.025943, 32.956772]",ELEC
48161,CA,"[-122.36654, 40.571632]",ELEC
48162,CA,"[-117.212007, 34.065387]",ELEC
48163,CA,"[-122.227322, 37.495963]",ELEC
48164,CA,"[-122.32124, 37.985253]",ELEC
48165,CA,"[-117.297603, 33.941878]",ELEC
48166,CA,"[-121.396604, 38.631393]",ELEC
48168,CA,"[-117.298, 34.074378]",ELEC
48170,CA,"[-117.147384, 32.833179]",ELEC
48171,CA,"[-117.215269, 32.802475]",ELEC
48174,CA,"[-117.419673, 33.925469]",ELEC
48175,CA,"[-121.256452, 38.752198]",ELEC
48179,CA,"[-122.709121, 38.32398]",ELEC
48182,CA,"[-117.445732, 34.135345]",ELEC
48184,CA,"[-119.789796, 36.818622]",ELEC
48186,CA,"[-118.307028, 33.889201]",ELEC
48188,CA,"[-118.25536, 34.137054]",ELEC
48192,CA,"[-117.031718, 33.741163]",ELEC
48195,CA,"[-117.989861, 33.71069]",ELEC
48352,CA,"[-117.9095, 33.6915]",ELEC
48353,CA,"[-117.9183, 33.69276]",ELEC
48358,CA,"[-118.2778, 34.02828]",ELEC
48362,CA,"[-118.385, 33.9492]",ELEC
48365,CA,"[-116.361563, 33.754914]",ELEC
48368,CA,"[-120.6859746944428, 35.25211177248671]",ELEC
