id,state,coordinates,fuel type
114979,NY,"[-71.991389, 41.016398]",ELEC
114980,NY,"[-71.933361, 41.068775]",ELEC
114981,NY,"[-74.236306, 41.526824]",ELEC
114982,NY,"[-74.067013, 41.740786]",ELEC
114983,NY,"[-73.952155, 40.79136]",ELEC
114984,NY,"[-73.985539, 40.74556]",ELEC
114985,NY,"[-73.959484, 40.782031]",ELEC
114986,NY,"[-73.994331, 40.737171]",ELEC
114987,NY,"[-73.979503, 40.772742]",ELEC
114988,NY,"[-73.989409, 40.734939]",ELEC
114989,NY,"[-73.989763, 40.775474]",ELEC
114990,NY,"[-73.97118, 40.788614]",ELEC
114991,NY,"[-73.988745, 40.735736]",ELEC
114992,NY,"[-73.99688, 40.738371]",ELEC
114993,NY,"[-73.971611, 40.788008]",ELEC
114994,NY,"[-73.988572, 40.775065]",ELEC
114995,NY,"[-73.98185, 40.745603]",ELEC
114996,NY,"[-73.978525, 40.750013]",ELEC
114997,NY,"[-73.99787, 40.736973]",ELEC
114998,NY,"[-73.995829, 40.732085]",ELEC
114999,NY,"[-73.960949, 40.779211]",ELEC
115000,NY,"[-73.958352, 40.77735]",ELEC
115001,NY,"[-73.9667, 40.766495]",ELEC
115002,NY,"[-73.984313, 40.755856]",ELEC
115003,NY,"[-73.950546, 40.787402]",ELEC
115004,NY,"[-73.968409, 40.76306]",ELEC
115005,NY,"[-73.995135, 40.732519]",ELEC
115006,NY,"[-74.009491, 40.716268]",ELEC
115007,NY,"[-73.95087, 40.7758]",ELEC
115008,NY,"[-73.995403, 40.741554]",ELEC
115009,NY,"[-73.990032, 40.749073]",ELEC
115010,NY,"[-73.974193, 40.760648]",ELEC
115011,NY,"[-73.979036, 40.762234]",ELEC
115012,NY,"[-73.979364, 40.76351]",ELEC
115013,NY,"[-73.977795, 40.762855]",ELEC
115014,NY,"[-74.01074, 40.704514]",ELEC
115015,NY,"[-73.98313, 40.77592]",ELEC
115016,NY,"[-73.97956, 40.745432]",ELEC
115017,NY,"[-73.977083, 40.776813]",ELEC
115018,NY,"[-74.009079, 40.734006]",ELEC
115019,NY,"[-73.968269, 40.76139]",ELEC
115020,NY,"[-73.959334, 40.773256]",ELEC
115021,NY,"[-73.997591, 40.740243]",ELEC
115022,NY,"[-73.980913, 40.742821]",ELEC
