id,state,coordinates,fuel type
66981,CA,"[-118.352152, 33.951558]",LPG
66982,CA,"[-118.132581, 34.662819]",LPG
66984,CA,"[-118.157618, 33.862507]",LPG
66985,CA,"[-118.167536, 33.831945]",LPG
66986,CA,"[-118.334655, 34.034254]",LPG
66987,CA,"[-118.251762, 34.110029]",LPG
66988,CA,"[-117.202846, 33.55594]",LPG
66989,CA,"[-118.529575, 34.228454]",LPG
66990,CA,"[-122.205719, 37.768014]",LPG
66991,CA,"[-118.148785, 34.135758]",LPG
66992,CA,"[-118.08148, 34.010254]",LPG
66993,CA,"[-117.882091, 33.858504]",LPG
66994,CA,"[-117.292093, 34.100213]",LPG
66995,CA,"[-117.630406, 33.433857]",LPG
66996,CA,"[-117.217902, 32.754321]",LPG
67388,CA,"[-118.39509, 37.374358]",LPG
67396,CA,"[-122.389076, 40.625512]",LPG
67487,CA,"[-122.220932, 37.475747]",LPG
67566,CA,"[-119.267194, 36.330331]",LPG
67639,CA,"[-121.759195, 37.687032]",LPG
69028,CA,"[-122.2655026, 38.2356194]",LPG
71996,CA,"[-121.68746, 39.357302]",LPG
72601,CA,"[-119.14233, 36.288752]",LPG
72602,CA,"[-119.26867, 34.265872]",LPG
74094,CA,"[-119.136643, 36.285323]",LPG
74229,CA,"[-119.0180694, 36.06369249999999]",LPG
74475,CA,"[-118.134306, 34.659278]",LPG
74476,CA,"[-114.609392, 33.611787]",LPG
74477,CA,"[-116.438831, 34.120654]",LPG
74478,CA,"[-121.740451, 38.001945]",LPG
74479,CA,"[-121.818328, 39.70818]",LPG
74480,CA,"[-121.221934, 38.797984]",LPG
74484,CA,"[-116.970079, 32.655066]",LPG
74485,CA,"[-117.183366, 33.144045]",LPG
74486,CA,"[-119.034205, 35.394649]",LPG
74487,CA,"[-120.48665, 37.283593]",LPG
74488,CA,"[-118.158485, 35.055211]",LPG
74489,CA,"[-117.684251, 35.622136]",LPG
74491,CA,"[-115.545433, 32.793156]",LPG
74492,CA,"[-117.284829, 34.476158]",LPG
74493,CA,"[-120.529201, 38.050227]",LPG
74494,CA,"[-118.432976, 37.376332]",LPG
74495,CA,"[-122.275829, 38.254724]",LPG
74496,CA,"[-116.515053, 33.832874]",LPG
74497,CA,"[-122.588548, 38.226796]",LPG
74498,CA,"[-123.202645, 39.138885]",LPG
75384,CA,"[-117.544355, 33.873961]",LPG
77072,CA,"[-120.547904, 41.491382]",LPG
77084,CA,"[-120.6199745000305, 40.40007457884133]",LPG
77085,CA,"[-121.5151488650818, 41.99750600000002]",LPG
77336,CA,"[-117.183586, 34.495323]",LPG
77751,CA,"[-121.398169, 37.724623]",LPG
79473,CA,"[-123.795362, 40.110248]",LPG
91894,CA,"[-117.350046, 33.884438]",LPG
99535,CA,"[-121.984498, 36.987807]",LPG
121592,CA,"[-118.411171, 34.290299]",LPG
121593,CA,"[-118.343417, 33.939485]",LPG
145377,CA,"[-117.9194854060822, 33.64964027623794]",LPG
149100,CA,"[-118.622932, 34.193362]",LPG
155447,CA,"[-117.435189, 34.070008]",LPG
187528,CA,"[-117.346589, 33.298674]",LPG
187536,CA,"[-121.896069, 37.717453]",LPG
187537,CA,"[-116.951153, 34.874372]",LPG
191414,CA,"[-118.362223, 33.987333]",LPG
191417,CA,"[-117.860746, 33.85831]",LPG
191418,CA,"[-117.856214, 34.012709]",LPG
191419,CA,"[-118.253181, 33.783689]",LPG
191420,CA,"[-117.822169, 33.69635]",LPG
191422,CA,"[-117.869142, 33.714665]",LPG
191423,CA,"[-117.758355, 33.676654]",LPG
191424,CA,"[-118.209634, 34.017754]",LPG
202835,CA,"[-122.061548, 37.892797]",LPG
213032,CA,"[-118.535701, 34.257609]",LPG
213992,CA,"[-117.21772, 33.164537]",LPG
236960,CA,"[-118.74337, 34.27132]",LPG
255568,CA,"[-118.28712, 33.842435]",LPG
260774,CA,"[-122.32367, 38.33967]",LPG
